month;asyl_requests;easy_registration
2014-01-01;14463;12356
2014-02-01;11220;9822
2014-03-01;11280;10919
2014-04-01;11503;12185
2014-05-01;12457;14466
2014-06-01;14019;17443
2014-07-01;19431;20560
2014-08-01;17695;21268
2014-09-01;19043;27790
2014-10-01;21279;29674
2014-11-01;22075;27095
2014-12-01;20384;35098
2015-01-01;25042;32229
2015-02-01;26083;38892
2015-03-01;32054;31091
2015-04-01;27178;33150
2015-05-01;25992;37194
2015-06-01;35449;53721
2015-07-01;37531;82798
2015-08-01;36422;104460
2015-09-01;43071;163772
2015-10-01;54877;181166
2015-11-01;57816;206101
2015-12-01;48277;127320
2016-01-01;52103;91671
2016-02-01;67797;61428
2016-03-01;59975;20608
2016-04-01;60943;15941
2016-05-01;55259;16281
2016-06-01;74637;16335
2016-07-01;74454;16160
2016-08-01;91331;18143
2016-09-01;76400;15618
2016-10-01;32640;15178
2016-11-01;26438;17556
2016-12-01;20575;16442
2017-01-01;;14476