key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9377;60297;24073;96;23977;0;4131;1203;322;391;13390;1520;52;218;87;158;367;29;69;211;42;67;2;4;5;1416;13;8;216;56
9461;55010;22127;81;22046;0;4381;4631;785;989;7235;429;74;204;62;419;527;24;42;204;24;50;23;6;5;1550;4;28;182;168
9462;57280;21750;83;21667;0;5277;3133;1177;767;7220;530;93;233;62;428;334;127;35;122;29;54;8;8;2;1757;8;13;89;161
9463;32359;12559;33;12526;0;3496;1712;414;503;4351;181;33;134;36;147;218;31;25;45;8;8;6;3;1;995;0;3;87;89
9464;34221;11294;54;11240;0;2701;929;298;421;4676;244;48;119;39;170;108;112;16;60;24;31;8;4;0;1075;11;4;96;46
9471;115598;46669;190;46479;0;7739;3923;1043;1175;23289;1566;391;459;224;471;809;101;178;740;66;153;5;14;10;3186;11;23;736;167
9472;85177;34697;120;34577;0;7676;2741;819;746;15370;2305;264;347;150;280;393;99;76;294;46;96;8;3;4;2556;10;4;194;96
9473;70794;28104;100;28004;0;7788;2183;567;729;11785;1107;86;249;119;217;396;45;55;161;21;35;4;5;6;2053;6;26;252;109
9474;89698;39835;130;39705;0;7920;4579;1076;1117;16624;2481;371;417;119;378;574;83;102;262;38;98;20;9;8;2874;10;12;371;162
9475;79214;32049;132;31917;0;8325;1881;551;848;14386;1275;180;327;118;309;343;194;65;185;52;127;9;3;8;2381;14;11;217;108
9476;56593;21125;145;20980;0;5317;1071;379;437;10360;849;92;175;63;150;181;53;48;108;37;40;7;5;4;1286;5;11;246;56
9477;60402;23288;87;23201;0;5653;1661;572;637;10167;1128;101;222;82;212;295;47;62;101;35;43;8;3;6;1915;4;10;150;87
9478;54645;21779;83;21696;0;3846;1322;377;403;11513;1062;83;205;66;230;387;57;52;136;19;35;2;7;6;1525;3;2;277;81
9479;60370;22246;126;22120;0;6240;1381;409;601;9400;806;101;286;78;191;205;68;69;196;18;35;9;3;5;1652;8;6;258;95
9561;31263;11331;46;11285;0;3040;1529;247;512;3451;360;47;123;34;122;572;48;41;72;13;24;12;2;1;882;4;1;86;62
9562;77383;37320;88;37232;0;10476;7021;1534;1753;9752;923;54;312;110;828;1154;62;64;109;31;73;17;16;9;2473;9;23;131;298
9563;86007;31368;145;31223;0;9179;4957;945;2228;8124;576;136;338;96;656;473;57;70;170;22;94;31;4;9;2542;5;16;220;275
9564;349601;143804;811;142993;0;42711;20688;4300;8180;39577;2700;558;1675;467;2719;3016;224;327;609;87;256;166;27;45;12070;63;111;1311;1106
9565;30006;12459;52;12407;0;3003;1923;367;550;4279;330;40;133;47;137;254;29;22;79;13;18;6;0;0;1028;4;3;86;56
9571;139801;55113;194;54919;0;11590;6081;1302;1550;22036;3242;212;503;248;540;1779;259;161;435;104;145;28;5;7;3988;23;11;495;175
9572;102993;48417;154;48263;0;12111;6879;1535;1307;17124;2448;110;436;143;586;714;111;96;308;29;76;8;8;9;3671;12;16;276;250
9573;90790;40010;140;39870;0;11080;4815;939;1371;13555;1594;153;452;144;531;611;105;104;238;37;97;17;7;10;3442;17;10;326;215
9574;129375;57895;233;57662;0;15411;7502;1507;1881;19597;3169;329;632;165;679;1111;116;128;313;54;174;21;12;8;4275;18;8;315;237
9575;77421;33005;141;32864;0;7038;3384;752;853;13807;1937;116;317;188;341;1035;91;69;228;51;80;10;4;10;2111;4;16;296;126
9576;97193;41456;167;41289;0;9122;5087;902;1317;16273;2517;147;484;153;438;743;78;118;274;43;91;12;7;17;2999;11;10;284;162
9577;72500;29964;138;29826;0;6545;3303;573;751;12559;1178;100;259;90;304;1248;89;52;227;52;92;6;12;7;2058;11;9;170;131
9661;49917;17112;123;16989;0;3939;2560;680;688;5822;264;83;185;45;279;448;15;33;104;21;32;9;4;7;1443;7;30;165;126
9662;38947;13598;91;13507;0;3717;1208;465;864;5025;254;146;108;23;169;190;24;24;52;14;35;8;2;4;989;9;22;88;67
9663;99770;41643;133;41510;0;9510;8235;1795;1765;12881;722;213;413;92;1029;989;44;43;115;40;92;30;9;9;2895;15;6;122;446
9671;134223;53199;349;52850;0;11845;5557;1640;1387;22104;1773;351;570;239;617;789;42;167;362;90;102;20;20;16;4404;21;29;442;263
9672;84410;35211;177;35034;0;6518;2748;915;1016;17523;1165;276;300;134;364;753;67;116;224;52;128;15;9;8;2347;14;10;227;105
9673;64780;26640;135;26505;0;4541;2212;658;730;14151;988;125;197;118;251;316;51;71;181;25;110;11;10;9;1370;8;15;225;132
9674;68335;29204;119;29085;0;6328;2047;675;800;14100;1264;161;255;114;271;688;31;79;223;36;90;10;6;10;1396;22;12;361;106
9675;69555;30027;124;29903;0;5485;2696;733;699;14454;1872;149;277;101;301;591;68;67;275;34;44;14;2;8;1688;9;5;233;98
9676;96324;37507;222;37285;0;8254;3504;1176;848;16282;1986;163;412;153;357;694;34;106;239;68;101;11;4;14;2355;17;10;318;179
9677;101181;42611;201;42410;0;8841;4120;932;905;18912;2446;259;505;145;507;447;55;124;236;42;81;21;14;11;3342;13;21;277;154
9678;91692;40853;209;40644;0;8001;3402;938;1290;19938;1508;366;325;194;376;503;66;92;267;60;111;6;16;8;2708;18;13;297;141
9679;127059;60414;250;60164;0;13624;7500;1659;1464;25210;2028;536;591;219;831;1020;88;124;296;66;119;21;20;18;4124;23;12;291;280
9761;188472;68429;267;68162;0;14001;10932;1870;3395;23674;1172;269;762;177;1306;1401;108;94;515;68;260;53;27;10;7078;32;63;353;542
9762;31430;11037;40;10997;0;1935;1435;375;414;4382;446;35;116;36;139;208;16;25;172;11;64;4;0;3;1076;4;0;63;38
9763;48210;17296;65;17231;0;3323;2266;639;601;6022;1215;138;175;56;205;318;31;37;84;27;69;7;4;2;1865;3;11;62;71
9764;29910;11160;54;11106;0;2127;1133;404;340;4067;407;43;105;31;96;739;47;28;67;25;47;2;4;5;1231;1;3;114;40
9771;98943;40818;130;40688;0;6502;4026;1020;716;18703;1585;396;441;152;363;1385;61;68;646;68;165;10;5;0;4032;16;9;162;157
9772;185425;74330;313;74017;0;11817;7765;1882;1746;33249;4065;413;747;219;661;1589;97;147;835;103;241;16;22;14;7764;26;16;304;279
9773;72224;26453;103;26350;0;3751;2082;697;481;12758;1923;766;301;90;189;334;39;69;352;39;71;10;8;6;2060;12;6;233;73
9774;89371;31431;117;31314;0;4581;2561;760;685;14918;1762;241;370;143;259;570;45;115;376;70;113;10;7;6;3264;8;6;325;119
9775;122776;45719;190;45529;0;9322;4628;1493;1397;18288;1524;137;457;178;523;1026;105;145;349;58;244;19;10;13;4909;22;12;463;207
9776;59362;23694;101;23593;0;3814;3184;832;670;9623;1640;59;255;74;218;973;40;73;140;78;103;6;4;6;1616;8;5;88;84
9777;103730;42411;173;42238;0;6022;4821;1096;726;18902;2751;148;379;152;340;1303;46;68;1297;84;333;11;4;8;3412;9;6;173;147
9778;106402;41387;210;41177;0;5139;3624;1079;835;18769;3185;166;401;124;302;2017;98;110;462;167;253;11;21;14;3961;18;11;306;104
9779;99971;40570;159;40411;0;6596;3391;887;894;20635;1657;167;359;171;269;982;47;103;482;68;109;18;14;8;3146;13;11;256;128
9780;117420;49173;186;48987;0;6552;5560;1388;923;20415;6689;270;440;140;359;971;65;99;433;87;239;7;13;5;4031;10;6;163;122
10041;251551;121445;2797;118648;36080;40328;9426;3329;9802;0;1005;221;2125;1407;2320;277;52;281;31;128;167;151;28;27;8342;69;103;1981;968
10042;81279;49068;1708;47360;19507;15082;2198;979;2588;0;371;66;776;557;804;73;41;120;28;66;302;27;20;11;2888;23;11;590;232
10043;109755;56433;1826;54607;17740;20853;2489;957;3838;0;285;83;1028;851;980;75;41;177;34;53;73;42;18;14;3944;23;14;674;321
10044;158330;85962;3022;82940;30144;28746;4516;1752;5129;0;752;162;1385;1047;1265;121;44;250;32;107;168;32;24;20;5532;26;36;1184;466
10045;117837;67638;2306;65332;22037;22317;4186;1560;3979;0;532;129;1142;1669;1039;134;79;200;42;69;144;30;15;19;4799;23;27;767;394
10046;74441;48723;2036;46687;19674;15683;1947;704;2294;0;305;85;793;680;652;72;31;116;33;47;92;16;11;12;2743;18;6;398;275
11;2519758;1177832;18166;1159666;232274;278694;220998;31953;188344;0;3454;2863;18601;6107;37442;3674;872;3883;468;550;1095;3009;692;745;91759;646;1169;11842;18532
12051;60560;22078;649;21429;5978;6368;1223;303;3908;0;126;48;341;325;373;45;16;74;11;22;28;69;10;6;1671;8;24;288;164
12052;82908;33305;732;32573;7751;8295;1964;690;6993;0;219;91;462;508;554;72;34;138;16;23;58;108;11;23;3175;14;55;760;559
12053;47810;19836;451;19385;4154;4288;1229;296;5103;0;99;55;248;329;323;34;16;87;10;12;14;66;10;11;2482;7;23;316;173
12054;128782;63897;961;62936;10390;17115;8435;1625;14472;0;255;135;978;863;1694;210;63;202;19;35;59;232;44;39;4544;38;77;504;908
12060;148233;66884;1571;65313;14546;15976;4172;1242;16107;0;830;270;1205;1152;1044;138;56;346;43;30;78;256;59;44;5429;34;74;1752;430
12061;134573;68953;2069;66884;16749;17766;3693;1503;12660;0;719;394;1176;1449;1187;124;64;288;36;52;88;255;36;36;6041;40;73;2009;446
12062;91556;46495;1957;44538;14802;10282;1366;971;7616;0;618;278;869;1288;658;59;86;221;17;54;81;95;36;34;3226;25;71;1523;262
12063;127809;58800;1333;57467;14679;16082;4235;1432;9253;0;357;204;1005;1038;1070;97;72;211;30;35;65;76;29;35;5424;40;57;1589;352
12064;158572;72311;2075;70236;15774;17936;3627;1318;16793;0;553;324;1346;1607;1171;165;41;371;48;49;81;264;49;54;6227;40;74;1855;469
12065;169019;79699;1768;77931;19622;22374;5061;1716;13123;0;607;269;1488;1392;1415;157;91;313;32;59;99;135;48;41;7233;58;62;2020;516
12066;98281;45553;1546;44007;12553;11100;1479;783;8435;0;521;252;726;1076;601;61;39;233;32;50;70;58;33;37;3622;28;57;1858;303
12067;150759;74071;2114;71957;16732;18550;3419;1435;15095;0;598;447;1495;1753;1197;111;54;421;49;51;82;182;46;43;7100;49;128;2458;462
12068;84740;35720;1036;34684;9402;10160;1864;618;6527;0;314;120;587;797;467;73;61;145;18;24;55;62;22;24;2323;25;44;757;195
12069;168741;89615;2518;87097;22748;25390;7428;2406;13680;0;581;284;1425;1652;1480;173;72;353;62;50;107;186;63;39;6826;53;81;1402;556
12070;67372;28594;754;27840;8147;8878;914;557;5058;0;203;124;406;510;337;41;42;101;19;25;34;40;9;17;1675;17;26;552;108
12071;102604;50375;1832;48543;13492;12242;1940;1032;8707;0;360;292;875;1204;612;92;46;275;35;38;123;98;22;35;4634;29;57;1954;349
12072;133945;59484;1679;57805;13873;16524;3275;1223;11110;0;616;351;1142;1271;1011;112;58;268;37;57;86;143;39;35;4921;24;50;1195;384
12073;103892;45439;1518;43921;12076;12156;1733;901;9087;0;336;187;633;1159;564;68;25;212;18;36;68;110;68;27;2818;24;54;1283;278
13003;169595;69529;1319;68210;16144;15527;6836;1278;16524;0;440;105;788;941;1357;144;65;334;28;59;140;198;30;51;5278;39;119;1023;762
13004;77683;35046;675;34371;9294;9159;2483;715;7372;0;247;75;320;335;472;73;35;141;17;29;63;95;38;21;2476;9;50;645;207
13071;223761;102925;3819;99106;35961;19824;3856;1682;21242;0;681;393;1120;1635;1103;164;148;598;60;146;307;223;104;84;6087;40;198;2885;565
13072;177347;85498;2734;82764;30457;17722;3707;1552;15148;0;959;225;921;1440;820;120;116;407;55;110;364;215;60;67;5551;63;90;2180;415
13073;190192;85889;3254;82635;35062;12984;3479;1516;14836;0;516;332;994;1285;972;116;110;472;73;113;202;194;57;87;6643;49;118;1968;457
13074;129198;62945;2228;60717;18907;16398;3184;1235;10808;0;444;181;743;1053;715;104;83;301;28;47;139;163;32;53;4147;35;81;1491;345
13075;199588;96207;3710;92497;33979;15222;4153;1693;17179;0;562;376;1270;1659;1301;187;132;553;76;164;289;211;89;90;7254;77;119;5135;727
13076;177406;91000;3347;87653;30464;22276;3082;1793;16089;0;580;248;947;1521;822;140;139;488;58;102;248;177;46;62;5112;50;103;2704;402
14511;200626;89204;1580;87624;23924;17560;5743;2342;19668;0;604;433;1262;965;1657;185;328;409;56;129;296;161;60;46;8508;137;127;2122;902
14521;299341;154945;5962;148983;58167;19304;4263;3893;25555;0;3129;770;2177;2234;1470;237;1301;696;102;541;643;168;81;64;16912;75;137;6356;708
14522;266103;137384;4679;132705;52810;18764;4663;3684;22961;0;2415;681;2003;2171;1605;229;414;719;95;211;307;195;61;48;12489;58;133;5161;828
14523;200127;96630;3140;93490;33208;16586;3233;2466;16866;0;1345;451;1377;1303;913;180;793;442;91;236;334;125;40;41;9510;38;101;3287;524
14524;279269;129666;4069;125597;45415;19674;4706;3328;23946;0;2972;529;1890;1595;1283;230;894;596;98;278;448;170;78;31;12066;64;151;4499;656
14612;431526;232079;3648;228431;65737;36051;28086;6012;43898;0;2344;455;2926;1946;6155;778;457;821;107;169;409;347;255;83;21693;104;253;5220;4125
14625;260686;136092;4573;131519;51059;17038;4232;3619;22757;0;2917;580;1862;2538;1730;194;433;835;94;176;305;177;82;55;14230;69;134;5524;879
14626;221577;110824;4163;106661;40623;13042;3895;2269;18050;0;2313;539;1791;2404;1361;203;418;723;114;202;263;136;116;67;12584;80;129;4588;751
14627;205737;104260;3174;101086;37589;13283;4951;2993;16684;0;1860;396;1462;1632;1472;176;209;515;74;89;197;125;133;37;12292;111;125;4033;648
14628;206844;111731;3468;108263;42094;12298;4468;2791;16786;0;2645;449;1626;1649;1241;189;182;572;84;107;221;126;106;47;13574;54;107;6168;679
14713;434618;185252;3382;181870;43045;38255;22531;3965;38330;0;1037;351;2720;1673;4431;546;307;774;81;114;235;341;156;114;15277;70;268;3882;3367
14729;218976;105298;3096;102202;39230;17573;3949;2441;17911;0;1501;380;1581;1657;1202;142;143;508;59;116;159;143;59;46;9171;43;103;3504;581
14730;167553;75879;2553;73326;26998;12960;2536;1786;13441;0;1520;385;996;1212;785;102;69;387;33;57;96;88;34;43;5957;31;87;3307;416
15001;71682;33690;859;32831;9438;7650;1880;1035;6954;0;287;143;549;557;359;37;19;185;29;78;72;40;19;16;2689;25;47;563;160
15002;190680;77432;1376;76056;17871;15798;8539;2337;18363;0;607;148;1198;909;1433;232;82;368;30;129;163;169;55;33;5379;42;159;870;1142
15003;193706;74684;1533;73151;18313;18578;6226;1500;16765;0;481;133;1217;886;1297;187;57;281;38;106;106;136;37;39;5063;35;141;822;707
15081;73088;33174;1062;32112;10735;7111;1422;614;7042;0;280;117;474;775;376;70;53;200;37;143;90;71;24;35;1622;29;62;565;165
15082;143863;61292;2275;59017;18908;11451;1888;1583;13136;0;999;303;1142;1371;575;88;60;325;75;225;165;105;58;48;4761;57;120;1267;307
15083;147327;63238;2382;60856;20303;14529;2216;1644;11356;0;1016;281;1070;1503;716;105;58;407;74;222;168;129;49;45;3274;40;105;1186;360
15084;158118;72570;2462;70108;23288;13536;2440;1730;13923;0;1304;346;1321;1754;780;144;105;469;92;352;193;226;75;69;4813;50;115;2597;386
15085;191721;78141;2534;75607;25794;16852;3168;1687;15235;0;660;280;1546;1602;895;325;119;457;82;262;187;155;72;62;4123;48;112;1494;390
15086;79325;38036;1405;36631;11828;8740;1368;934;7340;0;699;171;658;881;467;89;46;244;49;126;114;79;43;31;1850;15;69;591;199
15087;124226;56178;2231;53947;15139;11422;1510;1762;13396;0;964;359;1157;1301;591;87;80;359;84;228;159;116;59;60;3284;71;99;1346;314
15088;161167;72070;2581;69489;22721;13678;2402;2227;15183;0;1010;352;1201;1652;770;116;67;477;97;212;167;181;54;56;4687;50;125;1576;428
15089;171435;69598;2607;66991;21427;14474;2120;1808;15733;0;728;279;1325;1314;673;123;99;385;64;287;174;140;55;68;3559;50;116;1632;358
15090;97915;41907;1403;40504;13134;9183;1610;922;8890;0;380;196;666;897;528;77;67;234;51;146;115;80;37;36;2132;27;44;833;219
15091;112612;52604;1899;50705;16111;10080;1696;1224;10787;0;1857;303;844;987;618;104;64;242;58;204;121;95;80;48;3369;40;76;1416;281
16051;167978;80621;1513;79108;19500;17183;7121;1627;18993;0;982;280;1116;867;1482;327;54;335;34;44;219;121;24;25;5731;33;117;1867;1026
16052;81727;35553;837;34716;9111;5638;1490;617;10258;0;299;116;481;535;514;69;22;210;19;13;75;67;26;12;3875;15;39;991;224
16053;84679;44245;583;43662;9078;9276;5581;1288;10652;0;319;189;469;377;1467;371;45;158;18;31;69;116;22;15;2968;14;34;434;671
16054;31382;14169;324;13845;3284;2481;577;250;4692;0;317;64;209;193;100;35;12;83;11;15;22;31;3;7;1087;9;23;265;75
16055;50930;25440;457;24983;6538;4896;3408;593;5358;0;183;69;320;285;618;123;22;125;11;13;60;33;11;11;1414;6;35;487;364
16056;34353;17736;319;17417;5046;3389;1053;255;4337;0;119;71;250;238;310;79;19;133;10;13;21;27;10;5;879;5;63;958;127
16061;83965;48132;1208;46924;23869;6300;1653;842;5434;0;1425;155;428;764;333;739;41;197;29;52;115;23;11;16;2775;18;32;1535;138
16062;72675;35305;962;34343;10317;7403;1435;828;8526;0;462;196;476;542;354;111;43;192;13;27;61;45;4;16;1901;16;38;1151;186
16063;107110;58566;1724;56842;19984;11066;1977;910;11328;0;1552;398;682;979;605;122;43;286;27;48;135;52;23;35;3549;18;108;2657;258
16064;88204;43760;1302;42458;14641;8400;1595;964;8943;0;918;302;560;741;453;162;19;241;12;21;97;44;17;28;2607;25;45;1414;209
16065;66767;34500;1164;33336;10381;6789;916;638;8605;0;357;200;484;601;380;40;25;188;18;23;57;40;14;13;1636;16;68;1686;161
16066;107742;55815;1713;54102;18115;10581;2146;1077;11650;0;1287;364;745;1196;596;126;76;261;40;42;110;68;13;12;3639;42;50;1638;228
16067;112936;58637;1705;56932;18236;11737;2327;1047;11325;0;1180;331;824;948;1025;120;58;329;24;44;126;47;20;29;4272;33;83;2348;419
16068;59940;32190;1121;31069;11073;4623;1031;743;6981;0;788;221;480;583;400;49;16;178;20;20;46;33;14;16;2106;9;35;1426;178
16069;55364;29043;849;28194;9292;4941;888;449;6789;0;928;278;446;658;329;59;16;146;25;28;46;34;14;12;1851;7;32;800;126
16070;91602;48216;1573;46643;13631;8263;2175;847;11176;0;1154;265;722;740;684;83;71;251;34;33;75;59;22;15;4585;28;64;1313;353
16071;68439;38718;1143;37575;13206;5962;1760;823;7602;0;1041;258;621;677;565;81;23;210;23;17;92;58;6;46;2797;34;49;1416;208
16072;49647;23448;797;22651;7307;3830;732;486;5869;0;315;178;341;407;259;76;36;130;29;19;24;41;7;12;1528;9;83;810;123
16073;95607;48596;1463;47133;14045;7945;1886;1156;10795;0;907;355;786;947;661;119;38;365;32;38;94;85;19;29;4195;69;56;2204;307
16074;70654;41321;1171;40150;13017;6069;1701;972;9245;0;635;302;572;799;508;111;44;241;33;29;72;48;12;66;3920;14;50;1491;199
16075;71195;38529;1181;37348;12074;6263;1313;849;8772;0;649;287;604;742;446;105;80;259;23;49;125;75;30;17;3114;36;54;1211;171
16076;88102;48740;1551;47189;16510;7660;1604;1050;9941;0;684;264;745;895;486;112;86;254;42;72;120;53;22;27;4559;30;46;1686;241
16077;80935;39093;1436;37657;12448;7121;1063;845;8492;0;347;328;656;778;404;56;56;246;13;45;114;48;23;34;3023;36;52;1237;192
3159;257883;129655;1196;128459;42274;45744;16859;3078;6612;0;796;140;1324;536;1800;277;174;237;59;42;111;119;18;20;6451;43;69;714;962
